;PC1;PC2;PC3;PC4;PC5;PC6;Campaign;Date
169;0.856520973;0.766519405;-1.307208362;-0.364406339;-0.820662356;-0.064639889;BR-MW;2021-01-21 15:05:15
170;1.481103551;-0.30536885;-0.66009746;0.876928159;-0.672440004;0.791961896;BR-MW;2021-01-21 15:05:30
171;1.917381942;0.960642465;-1.417568464;-0.151764248;-0.705621739;0.173461081;BR-MW;2021-01-21 15:05:45
172;-0.226407353;-1.842913944;0.030648323;1.333512122;-0.818768035;0.886480724;BR-MW;2021-01-21 15:06:00
173;2.423755741;1.331440296;-1.505042403;-0.194517424;-0.750384892;0.00682698;BR-MW;2021-01-21 15:06:15
174;1.972680505;1.013101027;-1.466844379;-0.263041524;-0.6565332;0.038313128;BR-MW;2021-01-21 15:06:30
175;0.971843979;0.811376074;-1.317881402;0.492004745;-0.546334281;-0.019344084;EM-MW;2021-01-22 13:12:00
176;-2.450640501;-0.451655563;-0.706093877;0.285541577;-0.727258479;-0.287160375;EM-MW;2021-01-22 13:12:15
177;-0.839294477;-0.227973648;-0.818940761;0.709486942;-0.620696677;0.111053762;EM-MW;2021-01-22 13:12:30
178;-3.022976264;-2.33349502;0.563320553;1.824460997;-0.591801696;0.507034791;EM-MW;2021-01-22 13:12:45
179;-2.675935918;-0.562795405;-0.644688079;0.299567667;-0.696357615;-0.287061649;EM-MW;2021-01-22 13:13:00
180;-2.733986544;-1.414508623;-0.275132874;0.948367073;-0.715283595;0.181897822;EM-MW;2021-01-22 13:13:15
181;-1.726493003;-0.163967876;-0.859512724;0.307237952;-0.696231441;-0.170619427;EM-MW;2021-01-22 13:13:30
182;-3.129452692;-2.724771519;0.394963092;1.858217639;-0.61570234;0.741621192;EM-MW;2021-01-22 13:13:45
183;-1.946870548;-1.254024118;-0.415098168;1.059463371;-0.693407477;0.306707018;EM-MW;2021-01-22 13:14:00
184;-1.960874126;-0.503844974;-0.588478761;0.53749959;-0.540728442;-0.119447929;EM-MW;2021-01-22 13:14:15
185;-3.062800818;-0.873439717;-0.593355758;0.311845951;-0.800182602;-0.210164262;EM-MW;2021-01-22 13:14:30
186;-2.913775573;-0.791213608;-0.626378003;0.276099728;-0.790955121;-0.317243554;EM-MW;2021-01-22 13:14:45
187;-1.741407072;-0.060915362;-0.898684563;0.220693662;-0.725101347;-0.204095711;EM-MW;2021-01-22 13:15:00
188;-1.329857108;0.118895257;-1.093726557;0.161683894;-0.687551443;-0.192096812;EM-MW;2021-01-22 13:15:15
189;-2.220675118;-0.374265426;-0.669770839;0.331896822;-0.727388011;-0.200387138;EM-MW;2021-01-22 13:15:30
190;-2.605809777;-0.384848023;-0.861511893;0.091053573;-0.772759058;-0.287763767;EM-MW;2021-01-22 13:15:45
191;-2.037784739;-0.135019849;-0.826683959;0.203200338;-0.71239475;-0.184767563;EM-MW;2021-01-22 13:16:00
192;-2.962393646;-0.648829508;-0.680554705;0.202604512;-0.767276212;-0.241212698;EM-MW;2021-01-22 13:16:15
193;-3.260819005;-0.685562212;-0.221561326;0.363983061;-0.66928291;-0.372247953;EM-MW;2021-01-22 13:16:30
194;-4.255772569;-1.017874147;-0.502215484;0.055978787;-0.794163337;-0.315741772;EM-MW;2021-01-22 13:16:45
195;-4.587612287;-1.290995106;0.259531594;0.494035957;-0.707245548;-0.517459966;EM-MW;2021-01-22 13:17:00
